model,feature_set,static_features,n_train,n_test,MAE,RMSE,R2,seed
lstm,glucose_only,none,134574,31527,16.158954620361328,23.003663144516924,0.8547986149787903,0
attention_lstm,glucose_only,none,134574,31527,16.167346954345703,23.166709113139323,0.8527330160140991,0
lstm,glucose_insulin,"basal, bolus, bolus_30min, time_since_last_bolus_min",134574,31527,16.384944915771484,23.515286282859577,0.8482679724693298,0
attention_lstm,glucose_insulin,"basal, bolus, bolus_30min, time_since_last_bolus_min",134574,31527,16.48125457763672,23.16109935727361,0.8528043031692505,0
lstm,glucose_meal,"carbs, carbs_30min, time_since_last_meal_min",134574,31527,15.728338241577148,22.60978532799737,0.8597284555435181,0
attention_lstm,glucose_meal,"carbs, carbs_30min, time_since_last_meal_min",134574,31527,15.93101978302002,22.969494035568133,0.8552296757698059,0
lstm,glucose_only,none,134574,31527,16.28510284423828,22.926486414121005,0.8557713031768799,1
attention_lstm,glucose_only,none,134574,31527,16.267709732055664,23.18132261674728,0.8525471687316895,1
lstm,glucose_insulin,"basal, bolus, bolus_30min, time_since_last_bolus_min",134574,31527,16.041048049926758,22.902805792819223,0.8560690879821777,1
attention_lstm,glucose_insulin,"basal, bolus, bolus_30min, time_since_last_bolus_min",134574,31527,16.477983474731445,23.380032410741943,0.8500083684921265,1
lstm,glucose_meal,"carbs, carbs_30min, time_since_last_meal_min",134574,31527,16.418659210205078,22.96632640274669,0.8552696108818054,1
attention_lstm,glucose_meal,"carbs, carbs_30min, time_since_last_meal_min",134574,31527,16.00359344482422,23.06977807965502,0.853962779045105,1
lstm,glucose_only,none,134574,31527,16.41918182373047,23.217733984752236,0.8520835638046265,2
attention_lstm,glucose_only,none,134574,31527,16.199386596679688,23.23159422456504,0.8519068956375122,2
lstm,glucose_insulin,"basal, bolus, bolus_30min, time_since_last_bolus_min",134574,31527,16.01082992553711,23.23251374311912,0.8518952131271362,2
attention_lstm,glucose_insulin,"basal, bolus, bolus_30min, time_since_last_bolus_min",134574,31527,16.855621337890625,24.452313784467567,0.8359347581863403,2
lstm,glucose_meal,"carbs, carbs_30min, time_since_last_meal_min",134574,31527,15.783602714538574,22.5872663425674,0.8600077629089355,2
attention_lstm,glucose_meal,"carbs, carbs_30min, time_since_last_meal_min",134574,31527,16.040496826171875,22.84322764664412,0.8568169474601746,2
lstm,glucose_only,none,134574,31527,16.030759811401367,22.927277077308755,0.8557613492012024,3
attention_lstm,glucose_only,none,134574,31527,16.103679656982422,23.18583636215222,0.852489709854126,3
lstm,glucose_insulin,"basal, bolus, bolus_30min, time_since_last_bolus_min",134574,31527,15.977827072143556,22.99902341676707,0.8548572063446045,3
attention_lstm,glucose_insulin,"basal, bolus, bolus_30min, time_since_last_bolus_min",134574,31527,16.085275650024414,23.250069566848207,0.8516712784767151,3
lstm,glucose_meal,"carbs, carbs_30min, time_since_last_meal_min",134574,31527,16.056678771972656,22.89245139898057,0.8561992049217224,3
attention_lstm,glucose_meal,"carbs, carbs_30min, time_since_last_meal_min",134574,31527,16.363576889038086,22.981042097747384,0.8550840616226196,3
lstm,glucose_only,none,134574,31527,16.321256637573242,23.2878018779917,0.8511894941329956,4
attention_lstm,glucose_only,none,134574,31527,16.26510238647461,23.16847818368,0.852710485458374,4
lstm,glucose_insulin,"basal, bolus, bolus_30min, time_since_last_bolus_min",134574,31527,16.251628875732422,23.2013125344303,0.8522927761077881,4
attention_lstm,glucose_insulin,"basal, bolus, bolus_30min, time_since_last_bolus_min",134574,31527,16.256441116333008,23.25012732029991,0.8516705632209778,4
lstm,glucose_meal,"carbs, carbs_30min, time_since_last_meal_min",134574,31527,15.955750465393066,22.7855617383129,0.8575389385223389,4
